epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,283.462,1.71542,2.28879,1.39013,0.6892,0.29017,0.34005,0.19406,1.3597,4.95744,1.08589,0.000786012,0.000786012,0.000786012
43,289.135,1.65845,2.26054,1.37313,0.61037,0.35898,0.36346,0.22286,1.34024,5.01653,1.08242,0.000783013,0.000783013,0.000783013
44,296.317,1.60195,2.15306,1.34814,0.61771,0.33439,0.38059,0.23737,1.29768,3.58368,1.05227,0.000780013,0.000780013,0.000780013
45,302.699,1.54984,2.14857,1.33909,0.60536,0.35087,0.36387,0.2168,1.32225,4.44831,1.08225,0.000777013,0.000777013,0.000777013
46,309.166,1.67787,2.27816,1.36485,0.84216,0.29223,0.39829,0.23596,1.31762,3.17221,1.06529,0.000774013,0.000774013,0.000774013
47,315.648,1.57188,2.10639,1.34935,0.77093,0.33282,0.40005,0.23386,1.27377,4.03445,1.06922,0.000771014,0.000771014,0.000771014
48,321.254,1.65593,2.16645,1.38197,0.71319,0.36839,0.39699,0.24239,1.28044,4.71198,1.05485,0.000768014,0.000768014,0.000768014
49,328.691,1.56693,2.12811,1.37964,0.60191,0.34912,0.35852,0.21238,1.28901,10.0531,1.07886,0.000765014,0.000765014,0.000765014
50,334.446,1.62616,2.16411,1.3755,0.71168,0.301,0.36678,0.2166,1.27117,10.5502,1.07249,0.000762015,0.000762015,0.000762015
51,342.021,1.58887,2.05426,1.32651,0.62597,0.40441,0.37654,0.21936,1.28975,5.638,1.06875,0.000759015,0.000759015,0.000759015
52,347.792,1.59538,2.12286,1.35146,0.54971,0.38232,0.34783,0.2128,1.28768,4.15005,1.09268,0.000756015,0.000756015,0.000756015
53,355.129,1.63507,2.19887,1.37303,0.66239,0.38049,0.38086,0.22242,1.30631,2.70641,1.09499,0.000753016,0.000753016,0.000753016
54,360.806,1.63558,2.07463,1.37122,0.7231,0.3545,0.39243,0.23003,1.28688,3.14349,1.07428,0.000750016,0.000750016,0.000750016
55,368.242,1.56356,2.11958,1.34762,0.66866,0.38273,0.39329,0.24514,1.24586,5.5782,1.06835,0.000747016,0.000747016,0.000747016
56,374.221,1.52454,1.99767,1.33973,0.73607,0.33259,0.35471,0.21537,1.32049,3.99123,1.11042,0.000744016,0.000744016,0.000744016
57,381.379,1.59929,2.11317,1.35006,0.71135,0.39372,0.41218,0.24124,1.31028,2.50304,1.08807,0.000741017,0.000741017,0.000741017
58,387.243,1.55598,1.9979,1.35044,0.71467,0.41441,0.43484,0.27155,1.27568,2.18717,1.06056,0.000738017,0.000738017,0.000738017
59,393.594,1.61352,2.10081,1.3491,0.69403,0.35602,0.40344,0.23635,1.27354,2.62652,1.05964,0.000735017,0.000735017,0.000735017
60,400.515,1.53732,1.90555,1.33071,0.57802,0.42139,0.38501,0.23609,1.27294,5.13424,1.04373,0.000732018,0.000732018,0.000732018
61,406.212,1.53041,1.91781,1.26433,0.64338,0.33909,0.37753,0.23423,1.24432,6.4424,1.03292,0.000729018,0.000729018,0.000729018
62,413.46,1.50699,1.92996,1.30062,0.69431,0.33589,0.39478,0.25295,1.23206,4.9065,1.03136,0.000726018,0.000726018,0.000726018
63,419.33,1.51903,1.89665,1.30528,0.66444,0.37527,0.39559,0.24669,1.24415,2.78597,1.04365,0.000723019,0.000723019,0.000723019
64,426.567,1.53051,1.9809,1.31232,0.74731,0.35194,0.38831,0.24663,1.23766,2.32482,1.04061,0.000720019,0.000720019,0.000720019
65,432.354,1.54146,1.97172,1.29464,0.68129,0.36973,0.39151,0.25275,1.25891,3.68705,1.05579,0.000717019,0.000717019,0.000717019
66,439.733,1.48531,1.8985,1.29135,0.74578,0.33934,0.38583,0.24012,1.29689,4.63867,1.06612,0.000714019,0.000714019,0.000714019
67,445.368,1.53696,1.97348,1.31389,0.66508,0.35475,0.39158,0.23492,1.30304,5.6249,1.07914,0.00071102,0.00071102,0.00071102
68,452.622,1.46658,1.82687,1.26504,0.71276,0.34349,0.40163,0.24482,1.22509,4.40314,1.04535,0.00070802,0.00070802,0.00070802
69,458.474,1.53542,1.92495,1.30679,0.72684,0.35376,0.40724,0.25238,1.21668,4.1944,1.04215,0.00070502,0.00070502,0.00070502
70,464.709,1.49278,1.88087,1.30719,0.76428,0.38281,0.43868,0.26679,1.21756,3.6638,1.03674,0.000702021,0.000702021,0.000702021
71,471.287,1.4387,1.78554,1.28988,0.77429,0.42042,0.44777,0.25871,1.25808,2.54948,1.03967,0.000699021,0.000699021,0.000699021
72,477.165,1.46454,1.71157,1.27354,0.7385,0.37841,0.42011,0.25585,1.31289,2.68785,1.06814,0.000696021,0.000696021,0.000696021
73,484.511,1.51402,1.81941,1.28192,0.70597,0.39121,0.41765,0.26199,1.23679,4.31144,1.03887,0.000693022,0.000693022,0.000693022
74,490.119,1.54268,1.87535,1.31315,0.69916,0.40008,0.40867,0.24471,1.25078,4.56015,1.04876,0.000690022,0.000690022,0.000690022
75,497.521,1.48785,1.8692,1.31977,0.51748,0.39665,0.43486,0.26985,1.23289,3.51818,1.04791,0.000687022,0.000687022,0.000687022
76,503.222,1.51916,1.82593,1.32035,0.49478,0.40462,0.43293,0.26756,1.21217,3.91821,1.0364,0.000684022,0.000684022,0.000684022
77,510.669,1.487,1.77476,1.26058,0.83304,0.32667,0.42322,0.25967,1.19543,8.11945,1.01621,0.000681023,0.000681023,0.000681023
